rut,nombre,correo,telefono,rol,empresa,fecha creacion
13155811-2,adelardo linares pina,adelardo.linares.pina@hotmail.com,933662161,Ejecutivo,11578774-8 Alphabet,30/06/2021
9557194-8,agueda boix luz,agueda.boix.luz@hotmail.com,918415720,Operador,11578774-8 Alphabet,14/07/2021
11099974-7,aitor valentin angel,aitor.valentin.angel@gmail.com,910402371,Ejecutivo,12039291-3 Saudi Aramco,27/04/2021
22838951-k,amada saenz barranco,amada.saenz.barranco@hotmail.com,956262188,Gestor,24566099-5 Industrial & Commercial Bank of China,23/10/2021
7094964-4,amado lucena solis,amado.lucena.solis@yahoo.es,945384440,Encargado,12043514-0 China Construction Bank,6/08/2021
14888047-6,america brigida barragan,america.brigida.barragan@yahoo.es,918835102,Gestor,22724464-k Agricultural Bank of China,17/08/2021
11704098-4,aranzazu lucena vizcaino,aranzazu.lucena.vizcaino@yahoo.es,904350077,Gestor,12043514-0 China Construction Bank,13/06/2021
12342781-5,arcelia martinez rossello,arcelia.martinez.rossello@gmail.com,959167361,Gestor,6409492-0 Facebook,9/05/2021
8783899-4,aristides fortuny pozo,aristides.fortuny.pozo@gmail.com,929359280,Operador,11578774-8 Alphabet,31/07/2021
15586230-0,aurea riquelme gomis,aurea.riquelme.gomis@hotmail.com,971854899,Gestor,6409492-0 Facebook,23/01/2021
20854705-4,casandra palomares-folch andrade,casandra.palomares-folch.andrade@gmail.com,912269611,Ejecutivo,11578774-8 Alphabet,16/05/2021
23827119-3,chus de palma,chus.de.palma@yahoo.es,973860118,Encargado,6737982-9 Apple,19/06/2021
20404014-1,cleto agusti roman,cleto.agusti.roman@gmail.com,961317886,Encargado,12039291-3 Saudi Aramco,24/09/2021
6843510-2,cosme feliu clemente,cosme.feliu.clemente@gmail.com,935619309,Ejecutivo,6409492-0 Facebook,19/01/2021
5502325-5,daniela torrents alarcon,daniela.torrents.alarcon@yahoo.es,966034177,Ejecutivo,6737982-9 Apple,9/05/2021
17264567-4,emiliana corominas grande,emiliana.corominas.grande@yahoo.es,930812962,Operador,12043514-0 China Construction Bank,26/08/2021
23288618-8,faustino martin lumbreras,faustino.martin.lumbreras@gmail.com,946546715,Encargado,12039291-3 Saudi Aramco,23/02/2021
24814475-0,federico cuenca-hernandez palma,federico.cuenca-hernandez.palma@gmail.com,971435180,Operador,23690053-3 Berkshire Hathaway,6/02/2021
22316059-k,fito javi bayon,fito.javi.bayon@yahoo.es,997007137,Encargado,11578774-8 Alphabet,20/08/2021
